,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
1,1,A.US Equity,Agilent Technologies Inc.,6/2/2000,null,351010,Health Care Equipment & Supplies
2,2,AA.US Equity,Alcoa Inc,1/1/1970,10/31/2016,151040,Metals & Mining
3,3,AAL.US Equity,American Airlines Group Inc,3/20/2015,null,203020,Airlines
4,4,AAP.US Equity,Advance Auto Parts Inc,7/8/2015,null,255040,Specialty Retail
5,5,AAPL.US Equity,Apple Inc.,11/18/1982,null,452020,Computers & Peripherals
6,6,ABBV.US Equity,AbbVie Inc.,1/1/2013,null,352020,Pharmaceuticals
7,7,ABC.US Equity,AmerisourceBergen Corp.,8/29/2001,null,351020,Health Care Providers & Services
8,9,ABK.US Equity,Ambac Financial Group Inc,9/25/2003,6/10/2008,403010,Insurance
9,10,ABT.US Equity,Abbott Laboratories,1/1/1970,null,351010,Health Care Equipment & Supplies
10,11,ACAS.US Equity,American Capital Ltd,7/6/2007,3/2/2009,402030,Capital Markets
11,12,ACN.US Equity,Accenture plc,7/5/2011,null,451020,IT Services
12,13,ACS.US Equity,Affiliated Computer Services,4/1/2004,2/4/2010,451020,IT Services
13,14,ADBE.US Equity,Adobe Systems Inc.,5/5/1997,null,451030,Software
14,15,ADI.US Equity,Analog Devices Inc.,10/11/1999,null,453010,Semiconductors & Semiconductor Equipment
15,16,ADM.US Equity,Archer-Daniels-Midland Co.,7/30/1981,null,302020,Food Products
16,17,ADP.US Equity,Automatic Data Processing Inc,2/26/1981,null,451020,IT Services
17,18,ADS.US Equity,Alliance Data Systems Corp,12/20/2013,6/18/2020,451020,IT Services
18,19,ADSK.US Equity,Autodesk Inc.,12/20/1989,null,451030,Software
19,20,AEE.US Equity,Ameren Corp.,9/19/1991,null,551030,Multi-Utilities
20,21,AEP.US Equity,"American Electric Power Company, Inc",1/1/1970,null,551010,Electric Utilities
21,22,AES.US Equity,AES Corp.,10/1/1998,null,551050,Independent Power Producers & Energy Traders
22,23,AET.US Equity,Aetna Inc.,7/1/1976,11/28/2018,351020,Health Care Providers & Services
23,24,AFL.US Equity,AFLAC Inc.,5/27/1999,null,403010,Insurance
24,25,AGN.US Equity,Allergan plc,4/9/1999,5/8/2020,352020,Pharmaceuticals
25,26,AIG.US Equity,AIG Inc.,2/14/1980,null,403010,Insurance
26,27,AIV.US Equity,Aimco,3/13/2003,null,601010,Equity Real Estate Investment Trusts (REITs)
27,28,AIZ.US Equity,Assurant Inc.,4/9/2007,null,403010,Insurance
